transaction_id,date,region,product_category,quantity,revenue,net_profit
TRX00001,2026-01-27,North America,Software,53,18677.2,16174.4552
TRX00002,2026-06-06,Africa,Food,101,42191.74,35145.71942
TRX00003,2026-05-18,Australia,Software,133,67115.79,60538.442579999995
TRX00004,2026-05-16,South America,Appliances,106,23252.16,20299.13568
TRX00005,2026-02-17,Europe,Clothing,115,36977.1,29914.473899999997
TRX00006,2026-01-16,Asia,Furniture,66,32019.24,28176.931200000003
TRX00007,2026-01-16,Africa,Food,104,69527.12,57916.09096
TRX00008,2026-03-07,Asia,Food,143,96228.99,84681.51120000001
TRX00009,2026-02-21,North America,Clothing,73,12305.61,10656.65826
TRX00010,2026-03-29,Australia,Appliances,27,12522.6,11295.3852
TRX00011,2026-04-07,Europe,Furniture,86,32704.94,26458.296459999998
TRX00012,2026-02-22,Africa,Toys,60,18400.2,15327.366600000001
TRX00013,2026-01-11,South America,Software,76,60613.04,52915.18392
TRX00014,2026-03-16,South America,Clothing,133,98199.22,85727.91906
TRX00015,2026-06-15,Europe,Toys,12,3373.68,2729.30712
TRX00016,2026-03-18,Asia,Clothing,32,11183.04,9841.075200000001
TRX00017,2026-03-21,South America,Books,130,90199.2,78743.9016
TRX00018,2026-04-30,South America,Toys,143,92482.39,80737.12647
TRX00019,2026-02-25,Asia,Software,0,57408.78,50519.7264
TRX00020,2026-03-11,Australia,Furniture,42,3871.56,3492.14712
TRX00021,2026-03-01,South America,Appliances,21,12665.52,11056.99896
TRX00022,2026-04-15,Australia,Software,4,1956.72,1764.96144
TRX00023,2026-04-12,Asia,Software,138,25977.12,22859.865599999997
TRX00024,2026-06-30,Australia,Software,106,0,0.0
TRX00025,2026-03-23,South America,Clothing,68,1682.32,1468.66536
TRX00026,2026-01-23,Asia,Furniture,138,64210.02,56504.817599999995
TRX00027,2026-06-18,Australia,Books,130,60271.9,54365.2538
TRX00028,2026-01-13,South America,Software,16,9720.32,8485.83936
TRX00029,2026-04-26,North America,Furniture,117,12501.45,10826.255700000002
TRX00030,2026-01-11,South America,Clothing,145,29700.35,25928.40555
TRX00031,2026-03-28,South America,Clothing,66,11486.64,10027.83672
TRX00032,2026-05-03,South America,Books,59,31490.66,27491.34618
TRX00033,2026-05-16,Asia,Books,46,20165.02,17745.2176
TRX00034,2026-03-18,South America,Appliances,76,46182.16,40317.025680000006
TRX00035,2026-05-10,North America,Clothing,22,8528.52,7385.69832
TRX00036,2026-02-01,North America,Appliances,32,8414.08,7286.59328
TRX00037,2026-06-26,Africa,Books,48,20239.2,16859.2536
TRX00038,2026-05-05,Europe,Software,121,65041.13,52618.27417
TRX00039,2026-05-21,Africa,Toys,145,72442.0,60344.186
TRX00040,2026-06-27,Europe,Software,140,25628.4,20733.3756
TRX00041,2026-03-18,Asia,Books,75,38091.0,33520.08
TRX00042,2026-01-24,Africa,Appliances,57,6779.58,5647.3901399999995
TRX00043,2026-02-08,South America,Electronics,59,38421.39,33541.87347
TRX00044,2026-04-28,Asia,Clothing,53,28243.17,24853.989599999997
TRX00045,2026-03-09,Australia,Books,48,18904.32,17051.69664
TRX00046,2026-02-17,Europe,Appliances,145,17323.15,14014.428350000002
TRX00047,2026-03-23,Asia,Software,15,4662.3,4102.8240000000005
TRX00048,2026-04-10,South America,Furniture,111,64443.27,56258.974709999995
TRX00049,2026-01-14,South America,Furniture,42,20346.06,17762.110380000002
TRX00050,2026-06-20,Unknown_Region,Food,102,10788.54,10788.54
TRX00051,2026-04-29,Australia,Furniture,35,20693.05,18665.1311
TRX00052,2026-02-18,South America,Electronics,58,31973.66,27913.00518
TRX00053,2026-05-12,South America,Clothing,59,2701.61,2358.50553
TRX00054,2026-04-21,Africa,Toys,35,23328.2,19432.390600000002
TRX00055,2026-01-06,Europe,Furniture,99,25756.83,20837.27547
TRX00056,2026-03-23,South America,Appliances,98,0,0.0
TRX00057,2026-01-05,Europe,Clothing,52,13888.16,11235.52144
TRX00058,2026-01-11,Europe,Electronics,54,5936.76,4802.83884
TRX00059,2026-06-09,Asia,Electronics,138,93688.2,82445.616
TRX00060,2026-01-17,North America,Software,22,6418.5,5558.421
TRX00061,2026-05-06,Africa,Appliances,128,0,0.0
TRX00062,2026-04-24,North America,Furniture,82,44568.64,38596.44224
TRX00063,2026-02-23,Europe,Toys,50,0,0.0
TRX00064,2026-03-08,Europe,Furniture,0,17988.28,14552.51852
TRX00065,2026-05-21,Asia,Books,0,10739.88,9451.0944
TRX00066,2026-04-20,Australia,Appliances,58,4180.06,3770.4141200000004
TRX00067,2026-05-28,Asia,Appliances,25,6601.75,5809.54
TRX00068,2026-02-01,South America,Furniture,72,24444.72,21340.240560000002
TRX00069,2026-04-04,South America,Toys,72,38440.08,33558.18984
TRX00070,2026-03-23,Europe,Food,23,14495.98,11727.24782
TRX00071,2026-05-26,Australia,Food,138,94444.44,85188.88488
TRX00072,2026-02-02,Europe,Books,0,50569.0,40910.320999999996
TRX00073,2026-04-30,South America,Books,12,9402.6,8208.4698
TRX00074,2026-04-21,Australia,Electronics,26,19381.44,17482.058879999997
TRX00075,2026-03-11,Australia,Software,28,613.76,553.61152
TRX00076,2026-01-18,Europe,Toys,41,7219.28,5840.3975199999995
TRX00077,2026-02-01,Europe,Toys,100,69134.0,55929.406
TRX00078,2026-01-10,Europe,Furniture,94,10568.42,8549.85178
TRX00079,2026-04-29,Europe,Toys,61,32824.1,26554.6969
TRX00080,2026-05-18,Europe,Appliances,123,37345.26,30212.31534
TRX00081,2026-04-08,Asia,Electronics,79,51090.88,44959.9744
TRX00082,2026-05-01,Africa,Books,58,31580.42,26306.489859999998
TRX00083,2026-04-14,Australia,Books,123,7681.35,6928.5777
TRX00084,2026-05-05,Australia,Books,138,21752.94,19621.151879999998
TRX00085,2026-01-23,North America,Food,56,36227.52,31373.03232
TRX00086,2026-05-24,Asia,Clothing,148,82964.36,73008.63680000001
TRX00087,2026-04-05,Africa,Toys,115,3101.55,2583.59115
TRX00088,2026-02-07,Asia,Food,32,3155.2,2776.576
TRX00089,2026-05-18,Africa,Furniture,27,13843.98,11532.03534
